ProductID,ProductName,Category,Price
762,Widget A E,Furniture,259.26
757,Gadget A C,Appliances,120.08
343,Tool B D,Furniture,444.34
106,Tool D E,Furniture,448.58
405,Gadget E B,Appliances,213.43
324,Device B D,Gadgets,83.64
203,Item D B,Electronics,225.79
115,Tool E D,Appliances,354.04
486,Device A C,Appliances,69.37
563,Tool C C,Gadgets,121.65
105,Tool B E,Tools,307.7
629,Device C D,Tools,223.97
503,Tool D C,Gadgets,235.62
703,Item B C,Furniture,35.8
828,Device D C,Furniture,338.08
138,Widget D E,Electronics,209.76
877,Tool A B,Tools,418.82
768,Item A E,Gadgets,455.64
164,Item D B,Tools,400.5
474,Device D A,Tools,472.1
101,Gadget E D,Appliances,391.84
719,Widget B C,Electronics,289.19
420,Tool D E,Tools,283.41
848,Widget C E,,149.04
685,Device E D,,373.57
681,Item B C,Electronics,
833,Widget D C,Furniture,140.15
734,Item B E,Tools,272.55
822,Widget B D,Appliances,430.49
290,Device C E,,
394,Gadget C A,Furniture,339.91
605,Item D B,Tools,420.53
589,Gadget A B,Furniture,196.55
535,Item D D,Furniture,393.55
442,Device C A,Electronics,148.56
645,Item B A,Electronics,133.33
198,Device C E,Gadgets,204.08
899,Device A D,Electronics,77.5
553,Device B D,Gadgets,157.14
773,Gadget D D,Furniture,422.65
396,Device E E,,467.3
157,Tool E C,Appliances,284.87
573,Item C C,Tools,177.44
127,Device B A,Furniture,314.56
666,Gadget B C,Appliances,
330,Item B B,,395.65
169,Gadget D C,Electronics,34.61
200,Tool A B,Electronics,162.88
386,Tool E C,Gadgets,140.32
825,Tool B E,Appliances,464.12
476,Tool E C,Electronics,432.35
701,Item E B,Electronics,
143,Gadget A A,Tools,384.86
823,Tool A B,Electronics,263.32
329,Gadget D A,Gadgets,47.82
807,Device A A,Tools,17.14
639,Tool A B,Appliances,128.73
206,Device B C,Appliances,491.8
395,Device A A,,412.11
504,Widget B E,Furniture,212.13
541,Gadget B E,,331.72
410,Tool D E,Electronics,166.05
805,Tool B C,Tools,140.19
635,Device E A,Gadgets,280.79
828,Device D C,Furniture,338.08
210,Gadget B E,Appliances,100.12
288,Item B A,Tools,115.46
863,Device A C,Gadgets,399.64
452,Gadget C E,Furniture,334.4
540,Widget D D,,104.19
517,Tool B C,Gadgets,196.38
321,Gadget D C,Appliances,375.76
736,Gadget B E,Appliances,103.52
624,Device B D,Gadgets,453.54
194,Widget C D,Electronics,97.99
137,Device C B,Gadgets,57.63
329,Gadget D A,Gadgets,47.82
239,Gadget B E,,154.58
637,Tool C E,Electronics,324.99
172,Widget C D,Electronics,477.79
270,Tool C A,Appliances,132.86
580,Item B B,Appliances,301.27
778,Item D E,Electronics,363.64
488,Gadget B E,Appliances,231.24
650,Tool D D,Electronics,40.91
659,Tool A E,Furniture,343.71
364,Gadget C C,Electronics,487.35
190,Widget B E,Gadgets,53.52
391,Device D C,Electronics,43.46
752,Item E A,Furniture,169.61
475,Widget B C,Appliances,414.88
548,Device B E,Gadgets,256.19
533,Device E D,Appliances,157.78
132,Gadget E A,Electronics,218.53
834,Gadget A B,Appliances,480.82
481,Tool E C,Tools,361.27
539,Tool D C,Gadgets,458.26
654,Tool B E,Electronics,261.91
583,Gadget D D,Gadgets,203.03
290,Device C E,,
447,Device E E,Furniture,380.6
418,Item B D,Appliances,165.74
261,Device D C,Tools,147.59
830,Item C B,Appliances,207.22
379,Item D D,Electronics,374.79
898,Widget A A,Electronics,67.5
626,Device C E,Electronics,221.39
593,Gadget A E,Gadgets,355.8
663,Widget C E,Furniture,487.31
887,Gadget A B,,23.91
159,Tool C B,Electronics,99.39
813,Tool D B,Tools,24.09
764,Tool D C,,199.84
381,Item B B,Appliances,146.73
408,Tool C B,Gadgets,18.46
151,Widget B C,Appliances,361.95
279,Tool C C,Gadgets,95.09
132,Gadget E A,Electronics,218.53
185,Device D A,Electronics,258.63
449,Tool B B,Tools,494.94
702,Item D D,Electronics,476.04
625,Item E A,Furniture,455.6
400,Gadget A E,,46.75
523,Tool C A,Furniture,314.4
730,Tool E B,Gadgets,285.39
352,Widget B C,Gadgets,97.92
731,Tool D D,Electronics,239.2
393,Item D E,,316.5
799,Tool D D,Gadgets,166.07
409,Gadget B C,Furniture,198.11
576,Device E C,Appliances,109.97
197,Device A C,Appliances,226.67
563,Tool C C,Gadgets,121.65
844,Item C A,Tools,429.94
402,Gadget B E,Tools,422.07
640,Gadget A A,Appliances,336.11
174,Device E B,Electronics,278.95
671,Device A A,Furniture,450.03
186,Tool D B,Appliances,252.42
251,Device A A,Electronics,244.75
217,Item B B,Electronics,334.17
507,Device D B,Furniture,121.08
